Datetime,btc,eth,usdt,ada,dot,xrp,bnb,ltc,bch,link,xlm,doge,usdc,uni,wbtc,aave,atom,bsv,eos,xmr,trx,snx,miota,xtz,vet,xem,theta,neo,AVAX,grt,egld,dash,luna,sol,ceth,fil,sushi,mkr,okb,ht,comp,dai,cel,cro,cdai,ftt,zec,etc,ksm,busd,zil,cusdc,uma,dcr,leo,amp,yfi,zrx,near,waves,algo,dgb,hbtc,hbar,icx,ont,rune,nexo,lrc,omg,renbtc,nano,bat,chsb,ren,vgx,cake,btt,pax,qtum,stx,crv,rvn,iost,zen,sc,rsr,matic,qnt,husd,enj,1inch,ewt,bal,btg,lsk,ftm,flow,ampl,nxm
2021-01-01,29261.32,737.06,1.00,0.18,8.84,0.24,37.80,127.25,347.21,11.56,0.13,0.00,1.00,4.96,29261.21,87.55,6.01,164.12,2.63,160.10,0.03,7.65,0.30,2.04,0.02,0.22,2.06,14.55,3.31,0.36,26.18,100.71,0.64,1.63,14.75,23.29,2.96,594.25,9.06,4.87,144.44,1.00,5.49,0.06,0.02,5.83,65.21,5.74,70.07,1.00,0.08,0.02,7.98,40.75,1.39,0.01,22251.48,0.36,1.44,6.15,0.38,0.03,29224.14,0.03,0.46,0.45,1.34,0.58,0.18,2.56,29296.85,1.03,0.20,0.26,0.33,0.16,0.63,0.00,1.00,2.25,0.42,0.63,0.01,0.01,12.65,0.00,0.02,0.02,11.11,1.00,0.13,1.17,6.34,14.08,8.51,1.16,0.02,,0.97,28.27
2021-01-02,29851.12,735.19,1.00,0.18,8.60,0.23,37.59,126.12,346.86,11.81,0.13,0.01,1.00,4.74,29803.32,86.47,5.59,163.15,2.62,135.40,0.03,8.31,0.29,2.01,0.02,0.21,2.12,14.46,3.58,0.35,25.82,88.38,0.63,1.81,14.72,22.29,3.20,587.48,8.98,5.08,143.13,1.00,5.58,0.06,0.02,5.86,57.96,5.70,68.14,1.00,0.08,0.02,8.06,43.89,1.39,0.01,21835.12,0.37,1.38,5.74,0.42,0.03,29671.61,0.03,0.45,0.47,1.29,0.58,0.17,2.58,29846.24,1.03,0.20,0.24,0.31,0.15,0.63,0.00,1.00,2.25,0.46,0.59,0.01,0.01,11.67,0.00,0.03,0.02,11.21,1.00,0.13,1.10,6.45,14.13,8.47,1.16,0.02,,0.97,28.13
2021-01-03,33705.59,826.02,1.00,0.18,9.29,0.22,38.67,147.49,390.01,12.41,0.13,0.01,1.00,5.01,33908.17,85.12,5.52,167.93,2.69,139.18,0.03,8.34,0.29,2.02,0.02,0.20,2.26,14.74,3.60,0.31,26.24,87.86,0.65,2.00,16.60,21.44,3.15,657.87,8.15,4.89,140.39,1.00,6.23,0.06,0.02,6.69,58.00,6.33,69.69,1.00,0.07,0.02,8.23,47.80,1.39,0.01,21386.25,0.38,1.49,5.37,0.42,0.03,33412.88,0.03,0.45,0.48,1.36,0.64,0.19,2.60,33941.56,1.07,0.20,0.24,0.32,0.15,0.62,0.00,1.00,2.30,0.48,0.62,0.01,0.01,13.69,0.00,0.03,0.02,12.01,1.00,0.13,1.05,6.41,15.39,8.68,1.16,0.02,,1.01,31.64
2021-01-04,31906.92,1017.67,1.00,0.21,9.58,0.23,40.22,155.94,407.08,13.65,0.14,0.01,1.00,5.40,31873.77,102.47,5.82,168.37,2.80,136.92,0.03,9.86,0.31,2.18,0.02,0.20,2.00,16.02,3.47,0.31,28.40,88.61,0.66,2.24,20.28,21.44,3.63,682.20,7.49,4.89,147.36,1.00,6.16,0.06,0.02,7.19,59.23,6.83,68.93,1.00,0.07,0.02,8.78,45.85,1.36,0.01,23643.39,0.39,1.38,5.36,0.41,0.03,31633.23,0.03,0.49,0.48,1.47,0.61,0.30,3.12,31654.67,1.55,0.22,0.28,0.33,0.15,0.62,0.00,1.00,2.50,0.48,0.64,0.01,0.01,12.84,0.00,0.03,0.02,10.99,1.00,0.14,1.05,6.63,15.59,8.79,1.21,0.02,,1.10,38.63
2021-01-05,31595.76,1043.94,1.00,0.23,9.50,0.23,40.17,153.87,410.49,14.13,0.17,0.01,1.00,5.70,31675.81,112.53,6.01,166.03,2.81,131.99,0.03,11.85,0.35,2.31,0.03,0.20,2.12,16.30,4.04,0.30,32.23,88.18,0.71,2.27,20.91,21.42,3.50,697.91,7.32,4.82,155.92,1.00,5.86,0.06,0.02,7.68,59.32,7.00,66.49,1.00,0.07,0.02,8.80,46.06,1.35,0.01,23329.21,0.41,1.43,5.40,0.45,0.03,31470.40,0.04,0.52,0.49,1.57,0.62,0.46,3.50,31704.02,1.50,0.23,0.28,0.34,0.15,0.63,0.00,1.00,2.53,0.50,0.67,0.01,0.01,13.30,0.00,0.03,0.02,11.56,1.00,0.14,1.09,7.48,16.02,8.96,1.20,0.02,,1.00,39.55
2021-01-06,34907.19,1127.10,1.00,0.28,9.86,0.23,41.36,162.95,429.38,14.97,0.28,0.01,1.00,6.27,34966.76,116.64,6.30,175.91,3.08,136.81,0.03,12.56,0.38,2.51,0.03,0.24,2.21,17.44,4.55,0.36,36.37,92.21,0.72,2.06,22.56,21.85,3.86,816.93,7.45,4.89,168.39,1.00,6.01,0.07,0.02,8.79,60.91,7.37,69.26,1.00,0.08,0.02,9.20,50.45,1.35,0.01,23866.28,0.47,1.50,5.77,0.49,0.03,34709.40,0.04,0.60,0.53,1.54,0.61,0.45,3.61,34785.77,1.63,0.24,0.29,0.35,0.18,0.67,0.00,1.00,2.76,0.52,0.72,0.02,0.01,15.05,0.00,0.04,0.03,12.23,1.00,0.15,1.31,7.89,17.28,9.31,1.26,0.02,,1.08,42.96
2021-01-07,37510.32,1212.59,1.00,0.33,10.00,0.31,43.41,169.70,451.93,16.66,0.34,0.01,1.00,6.31,37591.80,118.61,6.63,180.74,3.33,144.74,0.03,12.15,0.39,2.64,0.03,0.26,2.09,20.15,4.59,0.37,39.03,98.90,0.86,2.27,24.32,22.41,3.83,1081.52,7.53,5.01,179.50,1.00,5.96,0.08,0.02,9.60,68.22,7.49,72.42,1.00,0.08,0.02,10.10,55.00,1.34,0.01,30845.11,0.47,1.52,6.09,0.50,0.03,37252.49,0.04,0.61,0.57,1.51,0.64,0.42,3.74,37469.84,3.74,0.26,0.32,0.40,0.23,0.64,0.00,1.00,3.04,0.54,0.73,0.02,0.01,15.50,0.00,0.04,0.03,12.28,1.00,0.17,1.46,8.17,18.03,10.64,1.38,0.03,,1.13,46.35
2021-01-08,39621.87,1202.89,1.00,0.30,9.33,0.32,42.49,168.37,433.66,15.48,0.30,0.01,1.00,6.03,39577.64,111.94,6.05,172.14,3.09,144.44,0.03,11.78,0.36,2.42,0.03,0.23,1.92,20.12,4.94,0.34,37.87,97.10,0.85,2.90,23.93,21.76,4.08,1063.58,7.11,4.89,168.67,1.00,5.53,0.08,0.02,9.27,67.08,6.94,68.66,1.00,0.07,0.02,9.60,58.99,1.33,0.01,33133.39,0.44,1.50,5.67,0.45,0.03,39602.94,0.05,0.59,0.55,1.39,0.61,0.36,3.41,39638.88,3.87,0.26,0.32,0.37,0.41,0.59,0.00,1.00,2.83,0.52,0.69,0.02,0.01,14.31,0.00,0.04,0.03,14.42,1.00,0.22,1.27,7.27,17.90,11.27,1.29,0.02,,1.08,45.74
2021-01-09,40548.06,1221.18,1.00,0.31,9.37,0.32,42.60,170.41,448.15,15.81,0.30,0.01,1.00,6.08,40501.92,112.59,6.43,219.68,3.24,143.69,0.03,11.78,0.44,2.54,0.03,0.23,2.02,20.46,6.59,0.35,37.15,99.19,0.82,3.18,24.42,21.83,4.62,1113.79,7.17,4.93,171.07,1.00,5.44,0.08,0.02,9.26,69.72,7.02,68.27,1.00,0.07,0.02,9.55,61.77,1.34,0.01,37827.76,0.47,1.73,5.76,0.47,0.03,40358.55,0.05,0.65,0.61,1.47,0.62,0.40,3.54,40582.05,3.81,0.26,0.31,0.40,0.62,0.58,0.00,1.00,3.01,0.50,0.74,0.02,0.01,15.53,0.01,0.04,0.03,15.25,1.00,0.20,1.21,7.14,18.46,11.91,1.40,0.03,,1.01,46.50
2021-01-10,40207.72,1307.77,1.00,0.33,9.53,0.33,43.66,176.60,592.42,17.36,0.31,0.01,1.00,6.13,40197.20,122.46,6.61,261.14,3.57,160.14,0.03,13.72,0.43,2.66,0.03,0.24,1.97,22.32,6.98,0.35,36.92,141.74,0.84,3.41,26.40,23.23,4.60,1700.55,7.30,5.31,190.35,1.00,5.29,0.08,0.02,9.60,85.96,8.61,69.65,1.00,0.08,0.02,9.81,59.95,1.34,0.01,36311.65,0.53,1.72,6.34,0.48,0.03,40122.62,0.05,0.66,0.63,1.50,0.63,0.38,3.76,39860.78,3.55,0.27,0.30,0.43,0.49,0.58,0.00,1.00,3.34,0.50,0.78,0.02,0.01,16.58,0.01,0.05,0.03,16.69,1.00,0.19,1.26,7.22,20.15,14.41,1.46,0.03,,1.00,49.65
2021-01-11,34588.06,1085.25,1.00,0.27,8.07,0.28,38.84,140.60,489.32,14.46,0.25,0.01,1.00,5.33,34699.54,111.37,5.65,196.98,2.73,155.98,0.03,12.44,0.37,2.40,0.02,0.21,1.72,22.72,6.22,0.29,34.79,125.95,0.79,3.01,21.68,21.92,3.98,1327.35,6.24,4.87,166.52,1.00,4.90,0.07,0.02,8.33,88.03,7.52,66.31,1.00,0.06,0.02,8.24,50.98,1.34,0.01,30229.24,0.45,1.58,5.75,0.41,0.03,34420.32,0.04,0.58,0.57,1.29,0.58,0.31,3.12,34520.23,2.74,0.23,0.27,0.35,0.50,0.51,0.00,1.00,2.89,0.43,0.65,0.01,0.01,23.14,0.00,0.04,0.03,14.86,1.00,0.16,1.09,6.42,15.90,11.85,1.25,0.02,,0.81,41.37
2021-01-12,35231.73,1093.53,1.00,0.29,8.34,0.30,38.76,139.01,474.56,14.64,0.29,0.01,1.00,5.37,34889.30,121.38,5.82,190.17,2.67,162.69,0.03,14.14,0.37,2.35,0.02,0.22,1.89,22.87,7.69,0.29,32.55,125.71,0.77,3.39,21.70,21.54,4.19,1488.94,6.33,4.82,191.39,1.00,4.85,0.07,0.02,8.65,98.27,7.22,64.93,1.00,0.06,0.02,8.52,52.06,1.34,0.01,30593.00,0.43,1.52,5.82,0.41,0.03,34736.16,0.05,0.59,0.55,1.34,0.56,0.33,3.06,34980.43,3.48,0.24,0.30,0.37,0.61,0.52,0.00,1.00,2.85,0.50,0.63,0.02,0.01,27.43,0.00,0.04,0.03,18.02,1.00,0.17,1.14,6.42,16.03,13.03,1.26,0.02,,0.83,41.59
2021-01-13,34454.05,1067.85,1.00,0.29,9.12,0.30,38.33,137.54,476.04,14.59,0.29,0.01,1.00,5.75,34664.23,139.03,5.91,206.15,2.69,161.13,0.03,15.07,0.39,2.36,0.02,0.21,1.92,21.92,7.72,0.29,32.38,129.81,0.82,3.46,21.35,21.53,4.54,1474.82,6.34,4.78,209.22,1.00,4.76,0.07,0.02,8.46,105.80,7.29,67.43,1.00,0.06,0.02,8.46,49.02,1.34,0.01,30592.98,0.48,1.54,6.27,0.42,0.03,34493.86,0.05,0.59,0.55,1.57,0.58,0.34,3.15,34439.02,3.34,0.24,0.30,0.39,0.69,0.55,0.00,1.00,2.83,0.50,0.65,0.02,0.01,25.43,0.00,0.04,0.03,17.98,1.00,0.17,1.24,6.26,16.24,13.33,1.26,0.02,,0.83,40.72
2021-01-14,38282.70,1165.39,1.00,0.31,11.99,0.30,40.95,147.91,504.98,16.01,0.30,0.01,1.00,6.46,38258.75,144.91,6.38,212.31,2.76,166.83,0.03,15.15,0.42,2.48,0.03,0.23,2.09,22.90,8.66,0.34,36.80,133.26,0.84,3.40,23.35,21.75,5.36,1536.96,6.34,4.94,212.74,1.00,5.03,0.07,0.02,9.40,113.13,7.60,81.84,1.00,0.07,0.02,9.01,56.42,1.35,0.01,33037.11,0.50,1.69,6.31,0.44,0.03,38159.96,0.06,0.61,0.58,1.80,0.61,0.41,3.26,38346.07,3.47,0.25,0.31,0.45,0.85,0.60,0.00,1.00,2.91,0.55,0.71,0.02,0.01,26.14,0.00,0.04,0.03,20.12,1.00,0.18,1.30,6.82,17.66,13.60,1.36,0.02,,0.92,44.55
2021-01-15,37901.97,1208.20,1.00,0.31,13.80,0.29,41.14,148.40,503.48,18.34,0.29,0.01,1.00,7.02,38068.24,153.62,7.76,210.49,2.76,162.02,0.03,14.62,0.42,2.62,0.03,0.22,2.10,23.09,9.25,0.34,37.29,129.99,0.81,3.32,24.21,21.60,6.12,1542.50,6.03,5.02,204.77,1.00,5.12,0.07,0.02,9.47,107.57,7.67,82.06,1.00,0.07,0.02,9.21,57.16,1.34,0.01,31671.15,0.50,1.82,6.41,0.47,0.03,37833.69,0.05,0.60,0.61,1.85,0.68,0.39,3.39,38016.09,3.31,0.24,0.31,0.50,1.17,0.60,0.00,1.00,2.99,0.50,0.96,0.02,0.02,24.48,0.00,0.04,0.03,19.44,1.00,0.18,1.33,6.73,17.65,13.20,1.32,0.03,,0.89,46.41
2021-01-16,37127.76,1212.66,1.00,0.34,16.00,0.28,42.56,145.68,495.18,21.77,0.29,0.01,1.00,7.80,36899.08,188.25,8.40,207.10,2.79,157.68,0.03,16.17,0.44,2.95,0.03,0.22,2.09,23.90,10.59,0.41,37.72,126.68,0.79,3.43,24.28,21.88,6.73,1529.55,6.13,5.17,212.33,1.00,4.86,0.08,0.02,9.44,105.89,7.70,89.95,1.00,0.07,0.02,9.89,58.59,1.34,0.01,33246.74,0.53,2.05,6.61,0.52,0.03,37087.42,0.06,0.66,0.66,1.95,0.69,0.39,3.66,36820.86,3.28,0.27,0.30,0.54,1.25,0.63,0.00,1.00,3.11,0.49,1.16,0.02,0.02,24.91,0.00,0.04,0.03,19.12,1.00,0.19,1.47,8.53,19.66,12.96,1.37,0.03,,0.88,46.03
2021-01-17,35725.82,1227.30,1.00,0.37,17.22,0.28,43.03,142.74,479.96,20.67,0.30,0.01,1.00,8.57,35742.20,189.35,8.50,200.76,2.75,155.33,0.03,15.51,0.42,2.89,0.03,0.22,2.03,23.20,13.26,0.46,37.08,123.72,0.79,3.54,24.55,24.18,7.12,1469.89,6.08,5.23,212.41,1.00,4.74,0.08,0.02,9.44,103.00,7.64,99.51,1.00,0.07,0.02,10.21,56.83,1.39,0.01,34434.80,0.55,2.60,6.68,0.52,0.03,35584.32,0.06,0.66,0.65,1.93,0.65,0.39,3.60,35585.23,3.40,0.27,0.30,0.59,1.09,0.65,0.00,1.00,3.05,0.48,1.46,0.02,0.02,24.43,0.00,0.04,0.03,18.28,1.00,0.24,1.84,8.85,19.35,12.41,1.36,0.03,,0.89,47.05
2021-01-18,36025.45,1227.42,1.00,0.37,17.22,0.28,45.39,143.89,484.41,22.11,0.30,0.01,1.00,9.14,36046.37,187.87,8.98,203.95,2.77,154.53,0.03,15.22,0.45,3.00,0.03,0.23,2.02,25.62,13.20,0.60,39.32,124.81,0.80,3.89,24.60,24.03,7.21,1432.74,6.56,5.43,226.59,1.00,4.59,0.08,0.02,10.37,103.09,7.66,112.72,1.00,0.08,0.02,10.53,55.93,1.39,0.01,37783.76,0.60,2.44,7.59,0.56,0.03,35982.80,0.06,0.71,0.70,1.99,0.64,0.41,4.07,36015.92,3.55,0.28,0.30,0.61,1.18,0.72,0.00,1.00,3.25,0.49,1.59,0.02,0.02,31.37,0.00,0.04,0.04,18.65,1.00,0.24,1.90,9.50,21.42,12.45,1.38,0.03,,0.95,47.08
2021-01-19,36813.79,1377.59,1.00,0.37,16.82,0.30,45.07,159.02,523.49,21.61,0.31,0.01,1.00,9.15,36806.42,202.66,9.35,209.31,2.85,155.93,0.03,15.76,0.48,3.00,0.03,0.24,2.05,27.06,12.70,0.55,39.14,129.30,0.92,3.82,27.63,23.54,7.28,1446.47,6.43,6.02,226.60,1.00,4.75,0.08,0.02,10.91,106.16,8.02,105.44,1.00,0.08,0.02,12.05,55.25,1.39,0.01,37207.19,0.57,2.36,7.53,0.55,0.03,37026.23,0.06,0.73,0.69,2.10,0.69,0.45,4.03,36730.24,3.60,0.28,0.31,0.61,1.14,0.75,0.00,1.00,3.27,0.49,1.47,0.02,0.02,29.88,0.01,0.05,0.04,19.62,1.00,0.34,1.91,9.75,23.77,12.80,1.41,0.03,,1.18,52.51
2021-01-20,35240.37,1334.13,1.00,0.36,15.89,0.29,41.89,147.34,494.48,20.53,0.29,0.01,1.00,8.45,35204.18,187.38,8.72,198.62,2.75,152.13,0.03,15.06,0.46,2.84,0.03,0.23,1.98,25.56,12.01,0.52,37.79,119.83,0.91,3.61,26.78,22.45,6.61,1370.66,6.06,5.67,210.64,1.00,4.59,0.08,0.02,10.25,98.37,7.75,99.79,1.00,0.07,0.02,11.15,56.21,1.40,0.01,33606.28,0.53,2.37,7.04,0.52,0.03,35211.24,0.09,0.70,0.63,1.95,0.70,0.44,3.73,35116.18,3.37,0.27,0.30,0.70,1.07,0.72,0.00,1.00,3.15,0.50,1.39,0.02,0.02,29.57,0.00,0.04,0.03,19.28,1.00,0.42,1.81,9.00,21.64,12.23,1.41,0.03,,1.04,51.13
2021-01-21,32912.60,1259.35,1.00,0.35,16.52,0.29,40.50,136.86,454.24,20.01,0.28,0.01,1.00,8.20,32691.89,175.02,8.14,188.84,2.65,142.69,0.03,14.04,0.46,2.66,0.03,0.22,1.94,24.07,12.12,0.50,37.82,108.24,0.85,3.43,25.00,21.96,6.41,1288.98,6.29,5.46,190.43,1.00,4.28,0.08,0.02,9.61,90.66,7.50,99.93,1.00,0.07,0.02,11.22,53.04,1.39,0.01,31007.62,0.51,2.31,6.72,0.50,0.03,33154.96,0.10,0.77,0.58,1.81,0.69,0.41,3.46,33296.07,3.11,0.26,0.29,0.69,0.96,0.74,0.00,1.00,2.95,0.48,1.59,0.02,0.02,29.49,0.00,0.04,0.03,17.85,1.00,0.37,1.73,8.20,20.43,11.28,1.38,0.03,,0.95,47.96
2021-01-22,31666.95,1189.85,1.00,0.33,16.60,0.27,40.08,138.76,431.32,20.63,0.27,0.01,1.00,8.32,31775.79,183.53,7.64,178.73,2.61,133.90,0.03,13.56,0.45,2.87,0.03,0.21,1.87,23.22,12.05,0.47,37.49,101.92,0.83,3.19,23.79,22.20,6.53,1232.41,5.86,5.20,198.03,1.00,4.32,0.07,0.02,9.39,85.19,7.22,99.44,1.00,0.07,0.02,11.75,50.12,1.39,0.01,30858.92,0.49,2.26,6.16,0.49,0.02,31910.48,0.10,0.72,0.56,1.96,0.67,0.39,3.32,31738.78,3.07,0.30,0.29,0.65,0.98,0.76,0.00,1.00,2.80,0.48,1.94,0.02,0.02,27.80,0.00,0.04,0.03,17.78,1.00,0.36,1.73,7.71,19.28,10.50,1.31,0.03,,0.94,45.84
